Category,SubCategory,Latitude,Longitude,POIName
leisure,fitness_centre,2.922214,101.650941,Celebrity Fitness - Dpulze
tourism,hotel,2.922014,101.660537,Shaftsbury Serviced Suites and Hotel
tourism,hotel,2.926676,101.651427,Z Hotel
amenity,parking,2.928245,101.640864,FCI Parking
amenity,restaurant,2.920948,101.656303,myBurgerLab Cyberjaya
amenity,restaurant,2.92192,101.65076,Nandos
amenity,restaurant,2.921948,101.650736,Nandos
amenity,restaurant,2.921957,101.650755,Nandos
amenity,fast_food,2.923218,101.663404,Pizza Hut Restaurant
amenity,cafe,2.908775,101.647993,San Francisco Coffee
amenity,cafe,2.921837,101.651155,The Coffee Bean & Tea Leaf
amenity,restaurant,2.923367,101.661498,TapMy Comfort Food Restaurant (Rooftop Pan Mee)pers Cafe Cyberjaya
amenity,cafe,2.923268,101.662875,Tappers Cafe Cyberjaya
amenity,restaurant,2.92207,101.651618,The Chicken Rice Shop
amenity,cafe,2.923431,101.660898,Tealive
amenity,cafe,2.921856,101.651157,The Coffee Bean & Tea Leaf
amenity,place_of_worship,2.932053,101.647778,Masjid Raja Haji Fisabilillah
amenity,place_of_worship,2.924312,101.643045,Surau Al Hidayah MMU
amenity,restaurant,2.923167,101.663189,Mazaj Restaurant
amenity,fuel,2.935973,101.661189,Petronas Persiaran APEC
shop,books,2.919885,101.637605,BookXcess
shop,hairdresser,2.915349,101.650277,New Look Saloon
shop,supermarket,2.922216,101.634835,Gem In Mall Cyberjaya
office,company,2.92508,101.662145,Shell Information Technology International Sdn. Bhd.
office,company,2.926056,101.663322,amIT Global Solutions Sdn Bhd
office,company,2.924585,101.657102,Blithesoft Sdn. Bhd.
office,company,2.908542,101.655347,Logicalis Asia Pacific MSC Sdn. Bhd.
office,company,2.925073,101.651286,MERP Technologies Sdn Bhd
office,company,2.919867,101.656467,Mindteck Software Malaysia Sdn. Bhd.
office,company,2.926663,101.651469,Mysoft Corporation Sdn Bhd (Cyberjaya HQ)
office,company,2.926825,101.656214,Saffron Info Systems Sdn. Bhd.
office,company,2.926788,101.656198,Saffron Info Systems Sdn. Bhd.
office,company,2.926657,101.651342,Mr. Accounting / ERP MySoft
office,company,2.925034,101.66187,Composites Technology Research Malaysia Sdn Bhd
office,company,2.925094,101.651198,Infobip Asia Pacific
office,company,2.92612,101.663284,IX Telecom
tourism,apartment,2.93697,101.661849,The Place at Cyberjaya
tourism,guest_house,2.919131,101.65688,Cybersquare Cyberjaya
tourism,hostel,2.923187,101.634525,The Eagle Nest Ville
amenity,university,2.920211,101.656289,Cyberjaya University Of Medical Science
amenity,university,2.940082,101.662696,Limkokwing University
amenity,university,2.927917,101.641936,Multimedia University (Mmu)
amenity,school,2.91961,101.63841,Srk Cyberjaya 1
amenity,restaurant,2.923204,101.663181,Kush Vegetarian Restaurant
amenity,restaurant,2.922269,101.650535,Padi Restaurant
amenity,cafe,2.927831,101.643022,Tau Cafe
amenity,place_of_worship,2.924349,101.643043,Mmu Mosque
amenity,fuel,2.9328833,101.6792677,Shell Presinct 8 Putrajaya
amenity,parking,2.9297021,101.6732642,
amenity,fire_station,2.9327158,101.6735886,Balai Bomba & Penyelamat Putrajaya
amenity,fast_food,2.9168261,101.6498389,Dominos
amenity,parking,2.9265467,101.6430717,Faculty Parking
amenity,parking,2.9247556,101.6431592,Hostel Parking
amenity,parking,2.925503,101.6411726,University Parking
amenity,parking,2.9273765,101.6410733,University Parking
amenity,parking,2.9275493,101.6400984,University Parking
amenity,parking,2.9281972,101.6408969,University Parking
amenity,parking,2.9260074,101.6437909,
amenity,restaurant,2.9152403,101.6508942,Al-Naz Maju
amenity,parking,2.9243649,101.6456517,Hostel Parking
amenity,parking,2.9251664,101.6458129,Hostel Parking
amenity,parking,2.9255076,101.6453906,Hostel Parking
amenity,parking,2.9347151,101.6455765,
amenity,bus_station,2.9313243,101.6699002,Putrajaya Sentral
power,tower,2.9533335,101.6465776,
power,tower,2.9535414,101.6465641,
power,tower,2.9538379,101.6482122,
power,tower,2.953886,101.6475953,
power,tower,2.9539919,101.6479057,
power,tower,2.9542794,101.6441898,
power,tower,2.9544727,101.6442225,
power,tower,2.9548023,101.6509202,
power,tower,2.9550207,101.6508868,
shop,convenience,2.9485339,101.618835,7-Eleven
amenity,university,2.9362018,101.6550509,Universiti Islam Malaysia
power,portal,2.9533842,101.647811,
power,portal,2.9534598,101.6480408,
amenity,cafe,2.9069676,101.6750533,Putrajaya
highway,bus_stop,2.9305036,101.6724482,
amenity,atm,2.9330144,101.6792529,
amenity,atm,2.9330545,101.6792342,
amenity,fountain,2.9092865,101.6555983,
shop,supermarket,2.9412982,101.6129399,CS BROTHERS
amenity,restaurant,2.9241269,101.6562701,TOKYO LUNCH
amenity,taxi,2.9316183,101.6699861,
amenity,restaurant,2.9004217,101.669734,
power,tower,2.8821064,101.6350307,
power,tower,2.8843985,101.6468895,
power,tower,2.884466,101.6449948,
power,tower,2.8845617,101.6413504,
power,tower,2.8846706,101.6372126,
power,tower,2.8847242,101.6358615,
power,tower,2.8850758,101.6493665,
power,tower,2.8855989,101.6512577,
power,tower,2.887222,101.6508354,
power,tower,2.8908979,101.6494675,
power,tower,2.8926179,101.6492499,
